# Talk Dialog

多莉: 原来如此，原来如此，没有那种能把人伪装成灵药罐子的「忍术」啊…

多莉: 不过！一人高的灵药罐，听起来也很有视觉冲击啊！

早柚: 真的吗？但那种忍具要做好久好久，好麻烦的…

旅行者: 你又想要卖什么？

旅行者: 又在打什么鬼主意？

多莉: #咦？！旅行者老爷？您怎怎怎怎么会在这里？

旅行者: 早柚，她在向你推销什么？

早柚: 嗯。我在买东西的时候遇见了多莉，被她拽住，一个劲地要我帮忙拍「广告」。

早柚: 她说话的语速好快，根本没办法打断，还请我吃零食喝饮料，所以就听她说到了现在。

多莉: 哼哼，这瓶灵药可是伟大的桑歌玛哈巴依老爷手里最新最值钱的宝贝。

多莉: 瞧瞧，仔细瞧瞧这瓶「保证让人轻轻松松长高超厉害灵药」！

旅行者: 名字好长…

多莉: 哎呀，因为最近的客人们都没什么耐心，既不想看说明书，也不想听我详细介绍。

多莉: 所以，我就只能把这种灵药的药效全部写在名字里了。虽然名字长了一点，但胜在直观易懂呀。

早柚: 听起来是不错，但是我没钱，我的零花钱都被巫女姐姐收起来了…

旅行者: 欸？为什么？

旅行者: 什么？有人克扣你的工钱！

早柚: 不是不是，巫女姐姐真的只是帮我收起来，我要是需要用钱，可以去找她支取的。

早柚: 我之前也不懂记账，花钱总是很快，每次到月底都根本攒不下多少钱…

早柚: 巫女姐姐知道了之后，就说要帮我算算账。然后她就抓着我，硬生生算了一整夜…

早柚: 结果，发现我总是买一些莫名其妙，却又用不上的东西，家里还堆满了没开封的狛荷屋快递。

早柚: 和巫女姐姐一起拆开之后，发现我买了五种不同的增高药，六种营养补剂…还有各种款式的鞋子和鞋垫…

早柚: 然后姐姐就说，从这个月起，我的俸禄先放在她那边，想要花钱的话就找她支取，可不能再乱花钱了。

多莉: 咳…忍者小姐，那…如果你要是告诉那位巫女小姐，自己要买我这种药水…

旅行者: 根本不会批钱啦！

旅行者: 谁会让早柚买这种药水啊！

多莉: #旅行者老爷，您这么决绝地说出这种话，是觉得我桑歌玛哈巴依老爷在骗人吗？！

旅行者: 你应该不会骗人。

多莉: 那当然了！我怎么会在生意场上…

旅行者: 你只是没说实话！

多莉: #旅行者老爷，你、你怎么能这么看我呢？我愿意对赤念果发誓！您知道它有多少片…

旅行者: 有五片。

旅行者: 知道它没有「七片」了。

旅行者: 别想用过时的冷笑话蒙混过关！

多莉: #唔呃！不愧是旅行者老爷。连这方面的知识也如此精通…

多莉: #好吧，没办法了，看在旅行者老爷的面子上…忍者小姐，这样吧。

多莉: #（嘁，明明马上就能让她掏钱了，旅行者这家伙在旁边，还一副和早柚很熟的样子，这样子就没法加价了…）

多莉: 只要您愿意协助我拍摄广告，那这瓶药水…我愿意免费给您奉上。

多莉: （好！就这么干！眼前亏点钱就亏一点，只要打开了销路，所有现在亏出去的摩拉都能翻倍赚回来！）

多莉: 至少在拍摄广告期间，您服用的灵药全部免费。

多莉: #还…还有旅行者老爷！这瓶药水也给您免费体验！

旅行者: 在你嘴里能听见「免费」…

旅行者: 真是不可思议…

早柚: 真的吗？但以我的身高，真的能拍摄这种广告么？

多莉: 您不用多虑，在拍摄这种广告的时候，您的身高完全不成问题。

多莉: 只要能够使出「忍术」，把自己咻地一下子变成灵药罐，然后再咻地一下爆开！

多莉: 然后，漫天的灵药罐从天而降…这一定能给观众留下深刻的印象。

早柚: 欸…欸…我的忍术做不到这种事情…

多莉: 没关系！我还会去请枫丹的魔术师来帮忙，大家一起努力拍出广告，让全提瓦特都认识这种灵药吧！

早柚: 那我还要去请假，嗯…最近我工作可努力了，巫女姐姐应该会批我的假吧…
