# Talk Dialog

绘星: 海况符合要求，目标水域没有其他船只…嗯，正适合开展「烟海梭巡」！
旅行者: 挑战「烟海梭巡」。
绘星: 好！请放手去挑战吧！
旅行者: 关于「烟海梭巡」的难度…
绘星: 我正想问你们呢，两位目前的看法如何呢？
派蒙: #我觉得倒也不算太难啦！这种考验对于我和旅行者不算什么！
绘星: 唔，考虑到你们二位有着高超的水准，保持这个难度应该刚刚好。
绘星: 感谢你们的反馈，这下我心里更有底了！我还要再好好思考一下，怎么调整难度曲线，兼顾挑战性和通过率…
旅行者: 关于九种证书…
绘星: 「四大证」和「五小证」吗？说来还挺简单的。
绘星: 「四大证」是「航海适任证」、「船舶结构维护适任证」、「船舶动力维护适任证」和「外海生存适任证」。
绘星: 「五小证」是「基本安全合格证」、「救生艇合格证」、「防火保安合格证」、「急救医护合格证」、和「预防魔物合格证」。
绘星: 拿到这些证书后，一名船员就具有了解决航海中大部分问题的能力。
绘星: 虽然船员们未必能理解每条要求的原理，但只要记住操作的要点，听从指令行动就可以了。
派蒙: 完全不简单啦！
旅行者: 还是别深究这些细节了…
绘星: 没关系！凭你们的天分，不用搞清楚所有技术细节，也能平平稳稳地航海！
旅行者: 有机会去请教一下北斗…
绘星: 好呀！大姐头总是深入浅出地讲道理，你们请教她以后，说不定就变成行家了呢！
旅行者: 还要再考察一下。
绘星: 可以理解！你们的作风谨慎，肯定还需要好好体验一段时间。就拜托你们了！
