# 冒险就要步步为营


## Talk 1

好奇的帕琪: 冒险不可能有完美的方案！这么拖下去，什么时候才能有进展？
杜兰: 就算没有完美的方案，也要做好万全的准备！
旅行者: 你们在吵什么呢？
杜兰: 哦，我们打算去<color=#00E1FFFF>千风神殿</color>内部探险，但帕琪小姐实在是没有冒险经验…
杜兰: 现在千风神殿里魔物横行，还有那个恐怖的遗迹守卫…贸然闯进去，只会让自己的生命安全受到威胁。
杜兰: 为了和帕琪…不是，为了保障我们的人身安全。
杜兰: 我正在说服她，制订一份万无一失的冒险计划。
杜兰: 但假如我去周围调查，说不定帕琪就会直接冲进神殿里去了。
杜兰: 我得在这看着她，请你帮我去周围调查一下吧。
旅行者: 我知道了。
杜兰: 太好了，要看得仔细一些啊，任何细节都会影响冒险的成败。
杜兰: 无论发现了什么，都带回来给我吧。
旅行者: 那我来看着帕琪小姐…
杜兰: 不，不行！旧计划里有很多细节，我要和她重新讨论…
杜兰: 你快点去调查新线索吧，拜托了！

## Talk 2

杜兰: 你们调查到新线索了吗？
旅行者: 还没有。
杜兰: 这可是关乎到我们冒险的成败，一切就拜托你了！

## Talk 3

杜兰: 调查到新线索了吗？
旅行者: 有这些发现…
杜兰: …原来如此，原来如此。
旅行者: 基本上就是这样。
杜兰: 都是很有价值的线索，辛苦你了，这些就给你做谢礼吧。
杜兰: 帕琪！冒险计划又可以更新了——
