# Talk Dialog

江村中弥 (「江村一玄斋」): 你果然还是找过来了，梦见月小姐。哦，还有两位新的朋友，远来是客，先恕我招待不周。
梦见月瑞希: 江村中弥…果然是你。
派蒙: 所以他真的是那个…这么礼貌，我有点意外。
江村中弥: 请不要再用这个名讳来称呼我了，那段被负面情绪支配的过往，我已经连同那些情绪一起抛弃了。
梦见月瑞希: 相信我，你没办法消除所有的负面情绪，你现在经历的这一切只是一个谎言。
江村中弥: 哈哈…这种说法可真有趣！
派蒙: 怎么还嘻嘻哈哈的？你知道你在害人吗？
江村中弥: 你们觉得我在害人？无所谓，你们不理解我，我可以理解你们。
派蒙: 这家伙到底怎么回事？虽然他和和气气的，但听得我好生气啊。
江村中弥: 梦见月小姐，如你所见，我的心理问题已经得到了完美的解决。
江村中弥: 感谢你为我做出了那么复杂的诊断，但在我看来，我的心理问题十分简单。
江村中弥: 一切的一切，都怪我只是一个无能的人类，没办法自行剔除心绪之中的杂质。
江村中弥: 过去的我会害怕，会愤怒，害怕得不到其他人的关注，因为受到他人的否定而愤怒。
江村中弥: 被这些负面情绪奴役着，变得卑猥、狂躁，遭人厌弃…但现在不一样了，我拥有了完全消灭这些情绪的能力。
江村中弥: 我不会再害怕，不会再愤怒，我从世间万物上感受到的只有快乐，我已经成为了一个完美的人！
梦见月瑞希: 看来你对心理问题有很独到的见解，那这次不如让你来当心理诊疗师，帮我诊断两个案例？
江村中弥: 当然可以！
梦见月瑞希: 第一个故事的主角是一名士兵，他控制不了自己的愤怒，常常冲动行事，闯了很多祸。他深受困扰，闷闷不乐。
江村中弥: 抛弃愤怒就好，他会获得平和的快乐。
梦见月瑞希: 第二个故事的主角是一位渔民，在大海上讨生计的他偏偏畏惧风浪，一度无法养活家人，忧愁度日。
江村中弥: 那就彻底忘掉恐惧，他很快就能重新回到海上！
梦见月瑞希: 很遗憾，全部答错。
江村中弥: 哦？
梦见月瑞希: 士兵的愤怒源于他坚守的底线，愤怒让他莽撞，也让他嫉恶如仇。
梦见月瑞希: 失去所有愤怒后，他变成了一个坐看匪徒行凶而无动于衷的渎职者。
梦见月瑞希: 渔民恐惧海浪，也因此获得了谨慎理智的性格，有他乘坐的渔船几乎从来没有遭遇过事故。
梦见月瑞希: 忘掉所有恐惧后，他第一次出海就毁掉了所有船员的劳动成果。
梦见月瑞希: 很奇妙吧？愤怒让人获得坚守底线的勇气，而恐惧则是理智的来源之一。
江村中弥: 这…
梦见月瑞希: 人类的梦境与情绪之间关系很密切，我们食梦貘常年与梦境打交道，也因此发现了一个与人类情绪有关的秘密。
梦见月瑞希: 人类的负面情绪永远都会存在，对所有人来说都是如此。
梦见月瑞希: 而与此同时，也必须要有这些负面情绪的存在，他们才能获得健全的人格。
梦见月瑞希: 所以，你明白你对他们做的事会造成多么严重的后果吗？
江村中弥: …真是有趣的理论。我记起那两个人了，但很抱歉，我从他们身上感受到的只有快乐。
江村中弥: 获得健全的人格必须要有负面情绪？就当这个理论是你开的玩笑吧，不然的话，难道之前的我很完美？
梦见月瑞希: 接受负面情绪的存在不代表我们要放任它们主导自己，人类的各种情绪是相互平衡的存在。
梦见月瑞希: 平衡一旦被打破，情绪之间只会相互倾轧，失控的愤怒会摧毁你的理智，没有尽头的恐惧最终会让你放弃底线。
梦见月瑞希: 之前的你只是这种理论的另一个反证。
江村中弥: 我…
梦见月瑞希: 之前的你被情绪支配，故意给他人带去痛苦，而现在的你甚至无法感知到自己为他人带去的痛苦。
梦见月瑞希: 我接下来给出的诊断可能不太礼貌，但它足够准确——
梦见月瑞希: 你的人格从一个可悲的极端来到了另一个可悲的极端，但无论是哪一边，都与「完美」毫无关联。
江村中弥: 你…哈哈…真是有趣…但是…不需要反驳，这没有给我带来不快…
江村中弥: 我原谅你的冒犯，因为我知道现在的自己很完美，我有最直接的证据。
江村中弥: 你曾经说过，噩梦就是负面情绪郁积而成的，但自从获得那种能力之后，我就再也没有做过噩梦了。
江村中弥: 这只能说明一件事——那些负面情绪确实已经被我完全消除了！
梦见月瑞希: 很遗憾，这里就是你的噩梦。
江村中弥: 什么…
派蒙: 其实刚进来的时候我就在怀疑了…
旅行者: 果然如此…
梦见月瑞希: 我们来时遇到的敌人就是他的负面情绪具象化之后形成的，这是在噩梦里才会出现的事情。
江村中弥: 到底是怎么回事…
梦见月瑞希: 那个声称能帮你消灭情绪的存在只是隔离了你的负面情绪，把它们藏到了你无法触及的潜意识里，任由它们发酵。
梦见月瑞希: 你的情况比起其他受害者更不乐观，它对你的欺骗更彻底，你甚至已经无法察觉到自己身处噩梦之中了。
江村中弥: 哈哈…真好笑…恐惧？不对，我不该有这种情绪的…这只是个玩笑…这不是梦！可恶…啊…
派蒙: 他身后有什么东西出现了…
久吕由命 (？？？): 哈哈哈…还是瞒不过你啊，吾等的天敌。
久吕由命 (？？？): 我为他织造的情绪茧房已经足够严密，却还是被你一步步拆解了，看来你早有准备。
梦见月瑞希: 果然如此…
派蒙: 这是什么东西？
梦见月瑞希: 它是魇，很久之前在稻妻猖獗一时的妖怪。
梦见月瑞希: 我们食梦貘吞食人类的噩梦，而魇则寄生在人类的噩梦里，所以我们彼此水火不容。
梦见月瑞希: #之前听旅行者讲起那个奇怪的梦境，我就猜到了是魇作祟的可能性，并提前做了准备。
梦见月瑞希: 不过即便如此，亲眼看到这种旧日的仇敌还是让我很意外，毕竟它们已经灭绝很久了…
久吕由命: 那就正式自我介绍一下吧，在下久吕由命，魇之一族仅剩的孑遗。
梦见月瑞希: 好久远的族氏…到底是怎么幸存下来的？
久吕由命: 梦见月…这个族氏也让我想起了很久之前的时光。然而即便作为天敌，我对你也并未抱有多少恨意。
久吕由命: 归根结底，还是因为人类作为宿主太过脆弱才导致了魇之一族的衰亡。
久吕由命: 不过，我已经找到了复兴本族的方法，你来晚了！
江村中弥: 呜啊！
梦见月瑞希: 不好，我们得尽快追上他！
