# Talk Dialog

苏定: 每一局兵棋推演都会为改善提瓦特的治安留下有效的参考情报，情报多多益善，请尽情施展你的战术才华。
旅行者: 那我多来几局。
苏定: 如此极好，每次推演后，棋阵都会被复位，随时可以开始对抗。
旅行者: 关于这次推演…
苏定: 此次推演由开阳星大人向天权星大人提议举办，仅是一次试行会议，规模有限，不过足以论证兵棋推演的准确性。
苏定: 出于深度合作、引入变量和扩展情报等多种考量，玉衡星大人致信邀请了多国友邻的部队。
苏定: 改善友邻国家的治安状况，也能尽量避免商队在货运途中遇袭，有利于扩大商业活动的规模。
苏定: 当然，合作点到即止，千岩军不会将自己的看家本领与友邻部队分享，友邻部队也都有着各自的绝技。
苏定: 推演中的棋子并未模拟任何一方的作战单位，也有一部分原因在此。毕竟推演的重点在于考察排兵布阵的思维。
苏定: 互相信任，求同存异，争取共同繁荣，这便是我理解中的合作目标。
旅行者: 关于你自己…
苏定: 我们曾有一面之缘，但你大抵没注意到我。
苏定: 之前我也是前线作战的一员，并随玉衡星大人在孤云阁布设量产型的归终机，迎击「跋掣」。
苏定: 那次战斗中，我目睹了你与申鹤仙君抗击「跋掣」的全过程，深有感触。
旅行者: 我好像有印象…
苏定: 多谢，看来你有着过目不忘的本领，不愧是难得的将才。
苏定: 总之，仅凭个人的武艺，单种兵器的进步，很难以凡人之躯击败那等强大的魔物。
苏定: 并不是说这两者的重要性有限，或抱守传统的军阵就万事俱备，而是要与时俱进，不断改进兵器和战法。
苏定: 将先进的兵器和战法结合是制胜的基础条件；针对不同的敌人，充分使用正确的战法，则是制胜的关键要素。
苏定: 本次推演的意义就在于赢取更多关键要素，准备足够充分时，即便再次遇上「跋掣」那般的强敌，也能从容迎战。
旅行者: 还是记不清了…
苏定: 无妨，过去的履历并不是重点。
旅行者: 申鹤仙君…
苏定: 她的仙力令人肃然起敬，不过，普通将士或许无法凭借磨砺武艺获得相近的力量…
旅行者: 关于这次的合作伙伴…
苏定: 你想听我评价友邻部队吗？那我就直言不讳了——
苏定: 他们都是翘楚级的人才。
苏定: 西风骑士团的代表本就是一位情报人员，擅长利用新锐的炼金装备进行远程侦察。
苏定: 不过要想发挥侦察距离的优势，还得采购对应的投射武器，组建相应的投送单位，这需要一笔不菲的预算…
苏定: 幕府的代表来自社奉行，剑术出色，身先士卒，作战时的锐气值得称赞。
苏定: 不过太注重亲自率军突击的话，可能导致指挥不当，局部取胜却全局失势，需要好好把控施放锐气的分寸…
苏定: 须弥「三十人团」的代表擅长应对从雨林到沙漠的多种极端环境，据称他和部下们只需少量给养就能持续作战许久。
苏定: 不过为了这种环境的适应力，「三十人团」是一支相对轻装的武装力量，正面抗击身着重甲的对手可能陷入劣势…
苏定: 枫丹「特巡队」的代表隶属于一支优异的火器部队，纪律严明，组织度极高，能以精准的齐射狠狠打击敌人。
苏定: 不过他们的装备相当精密，使用流程较为繁琐，维护工作更是重中之重，对人员的训练要求极高，部队规模难以大幅扩张。
苏定: 归根结底，不可能存在一支完美无缺的作战部队，相关人士只能尽量补足短板，不断优化部队在实战时的表现。
苏定: 我相信，只要加强交流合作，我们都会有所收获。
旅行者: 下次再聊！
苏定: 那就来日再见了，期待你继续参与推演！
