# Talk Dialog

爱诺: 嗯？这样操作不对么？伊涅芙，再把上次记下来的操作手册念一遍。

伊涅芙: 爱诺，我认为普通的润滑剂已经足够使用，不需要额外再制作新品。

爱诺: 哎呀，来都来了，我还要再玩一会。

旅行者: 你们在做什么呢？

旅行者: 是要制作药剂么？

爱诺: #旅行者，你来得正好，你肯定知道怎么操作这种炼金台吧。

爱诺: 快快快，帮我做一瓶那种…叫什么来着？冰冰凉凉的，霜什么…什么精油来着？

伊涅芙: 「霜劫精油」。

爱诺: 对对，就是这种冰冰凉凉的东西，我想要把它和润滑油结合在一起，给伊涅芙制作一种全新的关节润滑剂。

爱诺: #我本来想要自己操作，但考虑到效率问题…嗯，就由旅行者来帮忙吧！

伊涅芙: 其实，只是因为爱诺制作精油时失败了许多次，目前只剩下了制作两瓶精油的材料了。

爱诺: 我才没有失败！那是合理的试错过程！

爱诺: #做一瓶精油对我来说，当然不在话下。但既然旅行者来了，那当然要把专业的事交给专业的人来做呀。

爱诺: #嘿嘿，旅行者，拜托你啦。

旅行者: 行，交给我吧。

旅行者: 包在我身上。

黑屏文本: 帮爱诺飞快地制作了两瓶完美的「霜劫精油」…

爱诺: #哇，旅行者果然厉害，走吧伊涅芙，我们回去调配一下润滑剂。

爱诺: 相信我，这种润滑剂肯定能解决那些部件的过热问题。

伊涅芙: 好的，爱诺。但我在工作时，内部构件的温度并没有长时间超出过平均值。

爱诺: 呃…那个，有备无患嘛，有备无患。

爱诺: #谢谢你啦旅行者，这种精油我只要一瓶就行，剩下的那一瓶你留着吧。

爱诺: 我们走啦，等有空了之后，记得来找我们玩啊。
