# Talk Dialog

砂糖: …嗯，真有趣，我要记录下来。
    Option 1:
        旅行者: 今天是你的假期吗？
    Option 2:
        旅行者: 你怎么爬到那么高的地方来了？
砂糖: #旅行者？我、我还以为这个地方不会有人来才对。
砂糖: 我正趁着假期，在这里观察自然呢。
旅行者: 遗迹守卫吗？
砂糖: 往那边看，你看到那群白鸽了吗？
旅行者: 可鸽子不是到处都有吗？
砂糖: 但只有在足够高、足够安全、足够人迹罕至的地方，它们才会呈现出最自然真实的模样。
砂糖: 啊，说到这个。你看，遗迹守卫的巡逻并不会干涉白鸽的生态。
    Option 1:
        旅行者: 是因为它不会主动攻击动物吗？
    Option 2:
        旅行者: 是因为动物能理解它没有敌意吗？
砂糖: 这正是我好奇的地方。
砂糖: 曾经，我观察到过团雀在遗迹守卫的头顶上筑巢。而当其他人靠近时，那遗迹守卫还能重新运作。
砂糖: 这种关系能够算共生吗？它们之间是否存在可供交流的语言或信号？
砂糖: 这种对自律机关的信赖是不是和印随现象一样是可以遗传的本能？还是说它们有着比我们想象中更高的知能？
砂糖: 生物的秘密还有很多，我想要更多了解它们！
    Option 1:
        旅行者: 是值得思考的问题。
    Option 2:
        旅行者: 能理解你的心情。
砂糖: 谢谢！我很高兴能有机会和你分享这些看法。
砂糖: 之前我总觉得…一个人在实验室里做实验度过的时光是最充实和快乐的。
砂糖: 但现在想想，以这样的方式度过假期也不错。
