# 水生环境调查


## Talk 1

[Missing Talk]: Talk 7105106 could not be retrieved

## Talk 2

[Missing Talk]: Talk 7105101 could not be retrieved

## Talk 3

[Missing Talk]: Talk 7105102 could not be retrieved

## Talk 4

[Missing Talk]: Talk 7105105 could not be retrieved

## Talk 5

[Missing Talk]: Talk 7105103 could not be retrieved

## Talk 6

[Missing Talk]: Talk 7105104 could not be retrieved

## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

Unknown Role (None): 关于奇怪的物件…

Unknown Role (None): 嗯？这是你钓鱼钓到的，钓鱼？唔…这东西粗看起来倒像是我们钓鱼用的鱼饵。

Unknown Role (None): 钓鱼是能钓出这种东西的活动吗…？阿妮萨学姐在海祇岛也天天钓鱼，没见到她钓出什么成果来啊。

Unknown Role (None): 该说不愧是你吗？

Unknown Role (None): 我看看，这个东西…能够感受到它有很可怕的水元素含量。

Unknown Role (None): 层岩巨渊的地下水中，富含的元素量之多，确实有点不太正常…难道是因为有这些东西在地下水里生长的缘故吗？

Unknown Role (None): 不过这个东西从水里拿出来以后，元素就在不断流失，说不定必须得放在水边才会有产生效果。

Unknown Role (None): 放在水边？

Unknown Role (None): 放到水边，用水元素激活，大概就能知道这东西是什么作用了。

Unknown Role (None): 这样吧，你去激活它，反正东西也是你钓上来的，发生什么事就告诉我吧。

Unknown Role (None): 要是有什么研究价值的话，我会支付你报酬的。

### Additional Talk 2

Unknown Role (None): 关于放在水边的奇怪物件…

Unknown Role (None): 嗯？你把那个东西放在水边了…

Unknown Role (None): 怎么样，有发生什么特殊反应之类的吗？

Unknown Role (None): 出现了岩龙蜥…

Unknown Role (None): 岩龙蜥？那个东西放到水里变成了岩龙蜥？

Unknown Role (None): 哦，不是那个东西变成的，而是岩龙蜥看到那个东西之后就游出来了…

Unknown Role (None): 吓了我一跳，要是这个东西入水直接变成岩龙蜥，那我的世界观的立柱都要崩塌了。

Unknown Role (None): 那个东西到底是…

Unknown Role (None): 说来也简单，该怎么说明好呢，这样吧，让我先猜一猜，那只岩龙蜥，有没有什么特别之处…

Unknown Role (None): 比如说，元素附着属性是水之类的？

Unknown Role (None): 好像是这样的…

Unknown Role (None): 那就对了。

Unknown Role (None): 没看见…

Unknown Role (None): #难道是因为解决得太快了所以根本没在意到吗…真是厉害啊，不愧是传说中的旅行者。

Unknown Role (None): 不过根据我的推测…

Unknown Role (None): 那只岩龙蜥应该可以调用水元素。

Unknown Role (None): 层岩巨渊的地下水，水元素含量很高，特殊的聚集点就会养出类似你钓上来的水草一样的事物。

Unknown Role (None): 岩龙蜥，当然了，其他生长在层岩巨渊的亲水生物也一样，靠食用这种富含水元素的水草来提升自己的力量。

Unknown Role (None): 所以那个东西其实就是…富含水元素的水草！

Unknown Role (None): 只是水草吗…

Unknown Role (None): 嗯，就是水草，不过富有如此元素量的水草…

Unknown Role (None): 正常环境可长不出来，除非有什么非常纯净又巨大的能量影响了水源…不说这个了，这些水草…

Unknown Role (None): 说不定有一天也会生出意识变成元素生物，真是值得好好研究一番啊。
