# Talk Dialog

鹿野院平藏: 结合其他的调查结果来看…嗯，看来确实可以和之前的几起入室案并案侦查呢。
鹿野院平藏: 但是，为什么会有犯人入了室，却什么都不偷呢？而且，犯人到底是从哪里进屋的…
旅行者: 有什么案件发生吗？
鹿野院平藏: #哦呀，是旅行者，你来得正好，这里有一桩有趣的案件。
鹿野院平藏: 有一位犯人频繁在城里入室…但犯人在入室后，什么都没偷，只是把书柜什么的翻个乱七八糟，搞得各位居民苦不堪言。
鹿野院平藏: 虽然没造成什么实际损失，但家里总进贼人也不像话，所以大家就找我们报了案。
旅行者: 难道是轻小说的狂热读者？
鹿野院平藏: 哈哈哈，这已经是这个月被入室的第三家了，如果说只是想搜集轻小说，那未免也太狂热了。
鹿野院平藏: 但是，这些被入室的居民家中，有一个共同点…他们都收藏有一本叫做《应避忌的食人树》的罪案小说。
鹿野院平藏: 而且有趣的是，犯罪者所使用的犯罪手段，都在那本轻小说里有记载。
鹿野院平藏: 甚至连体态和步伐特征，都和小说里的主角类似。
鹿野院平藏: 如果按照一般性思维，首先应该做的，理应是将这本书的作者请来奉行所。
鹿野院平藏: 但是…我却有一个不同的推断，正在劳烦诸位同心帮忙验证…
鹿野院平藏: 如果诸位同心能找到我想要的线索，那么，我就可以继续推理了。
    Option 1:
        旅行者: 同心们已经出发了？
    Option 2:
        旅行者: 咦？裟罗呢？
鹿野院平藏: 九条大人已经亲自领着诸位同心去搜查了。走之前还严肃地说：
鹿野院平藏: 「鹿野院，我会暂时相信你的判断，但是，你对自己的推断有几成把握？」
旅行者: 那你是怎么回答的？
鹿野院平藏: 目前只有三成，如果各位带回来的信息里有我想要的，那就是六成。
鹿野院平藏: 同时嘛…我还要找一个人。如果这个人真的「存在」，那真相就近在眼前了。
旅行者: 你要找什么人？
鹿野院平藏: 一位有理由，追讨所有《应避忌的食人树》的人。
