# Talk Dialog

旅行者: 在这里还习惯吗？
夏沃蕾: 对我来说，这里的环境已经算是上佳了。
夏沃蕾: 我工作一整年，都未必能在这种舒适的环境中待上两个月。
旅行者: 你的工作环境究竟有多艰苦！？
夏沃蕾: 举例子的话，比如…为了接近走私船只，在冬天的冰水里武装潜泳。
夏沃蕾: 为了抓捕潜逃犯，连续几天通宵地毯式搜查…还好我们的鞋子底部都加厚过，十分耐磨。
夏沃蕾: 当然，还有在大夏天埋伏在河边灌木丛里，等待嫌疑人露面。
夏沃蕾: 夏季河边有许多毒虫，被咬的话也许会染病，但大部分防虫药的气味都十分刺鼻，很可能会暴露我们的位置…
夏沃蕾: 所以，我不得不要求所有人把皮肤都裹起来，就这么硬生生地捂着，直到嫌疑人拿出赃物和现金开始交易。
夏沃蕾: 最后，我们确实将嫌疑人抓了个人赃并获，但…也有几个队员因为中暑倒下，休养了很久。
旅行者: 光是想想就开始难受了…
夏沃蕾: 难受是肯定的。但我和我的队员们都已经习惯了，毕竟…这也是为了维护枫丹廷市民们的安宁。
夏沃蕾: 不过…唉，我们队内因为执行任务而受伤的队员越来越多…
夏沃蕾: 我也该向执律庭提交一份报告，要求提高我们的伤病补贴了。
旅行者: 夏沃蕾当时没事吗？
夏沃蕾: 我可是队长，是最专业的。
