# (test)隐藏-泪水线小助手$HIDDEN

安: …安…

## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

阿尔: 如果能够重新取回莉利丝公主的宝物，正义阵营的势力也将随着那份「时间」变得壮大，击败「纳西索斯」的胜利日就在眼前！
阿尔: …为此我们也绝不能遗忘奈伊的牺牲，如果没有他藏起宝物，「纳西索斯」必然早已攻破了公主所在的高塔。
小卷心菜: 嗯，奈伊哥哥很了不起。
阿尔: #我们不能辜负奈伊的努力，也不能辜负{NICKNAME}的努力，这次，有大家的帮忙，我们一定能救出莉利丝公主。
小卷心菜: 对，救出莉利丝公主，然后，然后…
阿尔: 然后水仙十字王国就能恢复以前那样粼光闪耀的样子，公主又能将你抱在怀中，为你整理羽毛，轻轻抚摸你小小的额头。
阿尔: 那些遗失在水畔的回忆将重新归来，所有的朋友们都欢笑着围绕在公主身边，一切总会变成幸福美满的样子，再无纷争与烦恼。
小卷心菜: 就跟以前一样！
阿尔: …对，就跟以前一样。

### Additional Talk 2

雅克: #是你啊，{NICKNAME}。取回莉利丝小姐的宝物以后，我们就掌握了胜利的关键。
雅克: 终于，有机会打倒入侵的外来者，拯救出莉利丝小姐。如此一来，「雅克管弦乐团」也将奏响…
雅克: 序曲的最后一个章节。
旅行者: 居然才是序曲吗…
雅克: 嗯？你不会以为救出莉利丝小姐，重新拯救了王国，一切就到此结束了吧？哈！现实世界可不是童话故事。
雅克: 就是因为有你这样想法的天真家伙很多，历史才会不断地重蹈覆辙。下一步，要颠覆根深蒂固的阶级体制和分配方式。
雅克: 在一个合理平等世界里——不必多说，平等自然是合理状态，也一定是莉利丝小姐向往的状态。之所以将其并列是考虑到现状…
旅行者: 我先走了…
雅克: 我们首先应当根据…设立…推翻…
旅行者: 可以精炼一点。

### Additional Talk 3

莫里: （嗅嗅）
莫里: 汪汪，是好人。摸摸？
旅行者: 好哦，摸摸莫里。
黑屏文本: 摸了摸莫里。\n因为是水构成的（狗），所以湿漉漉的。\n但是莫里看上去很高兴。
莫里: 汪汪，谢谢好人！
旅行者: 下次再摸吧，莫里。
莫里: 呜，莫里坏坏，所以不摸？
旅行者: 这跟好坏有什么关系？
莫里: 汪汪，好狗狗摸摸，坏狗狗…修。
莫里: 呜呜…
黑屏文本: 看到莫里很伤心，你伸出手摸了摸莫里。\n因为是水构成的（狗），所以湿漉漉的。\n莫里蓝色的眼睛里重新出现了光彩。
莫里: 汪汪，谢谢摸摸！
