# Talk Group: GadgetGroup - 53003_133611053

## Talk 0

执灯人的长桌: 似乎是*执灯人*举办宴会时使用的长桌。

## Talk 1

菲林斯: （皮拉米达城最上层的麦酒大厅，这里的宴会往往在苦涩的胜利后举行。）
菲林斯: （既是为了庆祝挪德卡莱的灯火再度战胜了长夜，也是为了纪念那些未能与我们一同迎接黎明的同僚。）
菲林斯: （宴会的形式大约沿袭自昔时的至冬宫廷，但毕竟时移世易，其内容也早已面目全非。）
菲林斯: （唯一不变的，唯有这第一杯酒要斟与亡人的习俗。）
菲林斯: （须知生时短暂，唯有死亡永恒。）

## Talk 2

叶洛亚: （麦酒大厅举行的宴会，在小时候的我看来是皮拉米达城最热闹的时候。）
叶洛亚: （那时我还没有加入执灯人，只是跟着大家在后厨帮忙。对我来说，宴会最重要的意义是能尝到平日里难见的美食。）
叶洛亚: （因此当时的我自然无法理解，饭桌上的前辈们为何总会在酒后痛哭流涕。）
叶洛亚: （直到我也成为他们中的一员，哭得比谁都难过…）
叶洛亚: （我们的道路是牺牲的同僚们所铺就，只有吃饱饭才有力气继续前行，这或许就是宴会的意义。）
